,SongName,ArtistName,id,cluster
80,Thank God It's Christmas - Non-Album Single,Queen,05X6aMCQR09E6smUmw9qms,1
81,Party (feat. Usher & Gucci Mane),"Chris Brown, USHER, Gucci Mane",05Z7jet4VDNVgNQWcYHnrk,1
82,Loca (feat. Cali y El Dandee),"Maite Perroni, Cali Y El Dandee",05ZXXyeZFhZtA6DAP3Aw7x,1
83,Demons (feat. Fivio Foreign & Sosa Geek),"Drake, Fivio Foreign, Sosa Geek",05aZ9sAU1YXndHv0FMi9iW,0
84,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",05bfbizlM5AX6Mf1RRyMho,1
85,Orlando,XXXTENTACION,05bnEv2dpFzmGVLGdjD9UP,2
86,1999,"Charli XCX, Troye Sivan",05mAIVLkIWc2d1UBYZBCp8,0
87,Saint-Tropez,Post Malone,05mDaV9Vb3wrzjF6OPZnhq,2
88,Famous (feat. Reginae Carter),"Lil Wayne, Reginae Carter",05r1GGg1Rhs0RcUg27C82a,1
89,Paradinha,Anitta,05rJdH2MRLJ3sQoEUO78qs,2
90,Envy Me,Calboy,05t7JMip6JrLuSrMV5yYjX,2
91,La Intención,"Christian Nodal, Peso Pluma",05tGmdz9dVZ4yGqz4YJdPK,1
92,United In Grief,Kendrick Lamar,05zd5Nv0e02ZqrlC8A2cwx,1
93,LUST.,Kendrick Lamar,06FCvd7rrRcF3DdvWH5Isp,3
94,Vertigo,Khalid,06GcodDliPWAYFX2LSFLIu,1
95,No Cap,"Future, Young Thug",06Gyf2pFDVmN5K8XAawG96,2
96,True Love,"Kanye West, XXXTENTACION",06JvOZ39sK8D8SqiqfaxDU,2
97,Closer to You (feat. Major Lazer),"Jung Kook, Major Lazer",06Qo2fYR2KS1F7bL338iVT,2
98,Last Christmas - Single Version,Wham!,06qMRF18gwbOYYbnP2du6i,1
99,Hasta Que Dios Diga,"Anuel AA, Bad Bunny",06s3QtMJVXw1AJX3UfvZG1,1
100,B.I.T.C.H.,Megan Thee Stallion,06scTb0zbkxYNgpAB3J9fN,0
101,Liar,Camila Cabello,073ILU1C3APNRGF66VhtyA,0
102,Baila Conmigo (with Rauw Alejandro),"Selena Gomez, Rauw Alejandro",079Ey5uxL04AKPQgVQwx5h,0
103,Lie,NF,07FkzikE6FuHIa8Ma7zJGc,0
104,High Fashion (feat. Mustard),"Roddy Ricch, Mustard",07KXEDMj78x68D884wgVEm,1
105,Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",07MDkzWARZaLEdKxo6yArG,2
106,Good as Hell (feat. Ariana Grande) - Remix,"Lizzo, Ariana Grande",07Oz5StQ7GRoygNLaXs2pd,2
107,Lalala,"Y2K, bbno$",07rmSXN6vNoquX1AsWd9pP,2
108,Own It (feat. Ed Sheeran & Burna Boy),"Stormzy, Burna Boy, Ed Sheeran",07s9NNOT0sZQp7TyolLLgu,0
109,I'll Be There,Jess Glynne,083Qf6hn6sFL6xiOHlZUyn,0
110,Why'd You Only Call Me When You're High?,Arctic Monkeys,086myS9r57YsLbJpU0TgK9,2
111,Blaues Licht,"RAF Camora, Bonez MC",08EPQiLMyGB8GJX2EiVoCM,2
112,MAFIA,Travis Scott,08F16baYbciTva9P4BvpiI,1
113,i n t e r l u d e,J. Cole,08LwMWf5Tcfsd752EPzFV0,2
114,No Love (with SZA),"Summer Walker, SZA",08SB2OtZkaliju77WYEKxk,1
115,Now and Later,Sage The Gemini,08WPvDEsHvTFuB9w8tC2OS,0
116,Fountains (with Tems),"Drake, Tems",08XWh5c0BMyD1nKVxxl91z,0
117,Que Le De,"Rauw Alejandro, Nicky Jam",08aYFNUTIOMGq93e2VSArQ,1
118,FRIENDS,"Marshmello, Anne-Marie",08bNPGLD8AhKpnnERrAc6G,0
119,epiphany,Taylor Swift,08fa9LFcFBTcilB3iq2e2A,1
120,Sick Boy,The Chainsmokers,08hm0V6cTsWDX62hW42sEv,0
121,Higher Power,Coldplay,0939D7aT18uBDS2MTjWzct,0
122,Tesla (feat. Sfera Ebbasta & DrefGold),"Capo Plaza, Sfera Ebbasta, DrefGold",093RgZ7RXHZwIrxZhZYX4Q,0
123,Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",09CnYHiZ5jGT1wr1TXJ9Zt,2
124,Nice Guy (with Jessie Reyez),"Eminem, Jessie Reyez",09FfQO3PqHO4HIJL511Ksi,2
125,Over Now,Post Malone,09IOPhEh1OMe0HD9b36FJk,1
126,The Middle,"Zedd, Maren Morris, Grey",09IStsImFySgyp0pIQdqAc,0
127,Angel,Fifth Harmony,09KlDlkOYuC5x6hOaM7vaP,0
128,"fuck, i'm lonely","Lauv, Anne-Marie",09PGubKAMryhOWv1LHpCYz,0
129,TRELLAS,Bad Bunny,09WAnxdBuebQopKhJT3oZS,2
130,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, Moliy",09gysnJpfQ3ublBmJDfcEC,0
131,Call Out My Name,The Weeknd,09mEdoA6zrmBPgTEN5qXmN,1
132,Oye,"TINI, Sebastian Yatra",09nSCeCs6eYfAIJVfye1CE,0
133,Outta My Head (with John Mayer),"Khalid, John Mayer",09oZ9eXQ2fo6YDrPzJqAoP,0
134,Say Something (feat. Chris Stapleton),"Justin Timberlake, Chris Stapleton",09ts3GnICqYEU5PkQCpJK3,1
135,Cry Your Heart Out,Adele,09u787BYeYIGd2mFIJ505t,1
136,Labyrinth,Taylor Swift,0A1JLUlkZkp2EFrosoNQi0,1
137,Body,Megan Thee Stallion,0A1hoCfMLkiAgvhWkkucJa,2
138,Fantasias - Remix,"Rauw Alejandro, Anuel AA, NATTI NATASHA, Farruko, Lunay",0A37XY67wSdGqkGjtfW6aV,1
139,Moonlight,Gaullin,0A5gdlrpAuQqZ2iFgnqBFW,0
140,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",0AAMnNeIc6CdnfNU85GwCH,0
141,I'M DAT N****,Future,0AAVJIN4plafvmNKqRCltG,1
142,Ain't My Fault,Zara Larsson,0ADG9OgdVTL7fgREP75BrZ,1
143,Na Raba Toma Tapão,"Niack, Markim WF",0AGS6ZRgzobrazmCi6pYMe,2
144,The Return,Logic,0ATmjiSoHDCHeeQ9FcvZOW,1
145,Daisy,Ashnikko,0AUvWawuP0ibk4SQ3sIZjk,2
146,Slime You Out (feat. SZA),"Drake, SZA",0AYt6NMyyLd0rLuvr0UkMH,3
147,evermore (feat. Bon Iver),"Taylor Swift, Bon Iver",0AaV4MJrgmLV3XhoiWXjjb,3
148,i Shyne,"Carnage, Lil Pump",0AcHbiMs86CCgprvc7E1gs,2
149,Love Scars 3,Trippie Redd,0AcicReEGm1qcENjqzh1Tg,2
150,I Can Show You,Lil Uzi Vert,0AhJag7VI8uFf3mJFsTwvf,2
151,10 Freaky Girls (with 21 Savage),"Metro Boomin, 21 Savage",0AluA5RNsa4Cx6XRhf2hWZ,0
152,Screw The World - Interlude,Drake,0ArVfVP8B5svkfj8clHNzB,2
153,Boo'd Up,Ella Mai,0At2qAoaVjIwWNAqrscXli,1
154,Remember The Name (feat. Eminem & 50 Cent),"Ed Sheeran, Eminem, 50 Cent",0AtP8EkGPn6SwxKDaUuXec,0
155,BROWN SKIN GIRL,"Blue Ivy, SAINt JHN, Beyoncé, Wizkid",0B3FovCVaGKS5w1FTidEUP,1
156,Younger Now,Miley Cyrus,0B48113ZG9UfkWWt7qD9xX,1
157,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Metro Boomin, Future, Lil Uzi Vert",0B6g379TMw0nYGXA7y5xHz,1
158,When I Was Your Man,Bruno Mars,0B7wvvmu9EISAwZnOpjhNI,0
159,Setting Fires,"The Chainsmokers, XYLØ",0B8B8cVRFIG1yznoQe7c9s,1
160,S91,KAROL G,0BFQC00Y58JtjMyTXOJazO,0
161,Astronaut In The Ocean,Masked Wolf,0BGwAKW4u8kWOhWFflZxfl,2
162,Tacones Rojos,Sebastian Yatra,0Be7sopyKMv8Y8npsUkax2,0
163,LUMBERJACK,"Tyler, The Creator",0BiK5BbYNFLb88CCOxBFJe,2
164,Just Us (feat. SZA),"DJ Khaled, SZA",0BnTBAGmr9FtYwkZrwKhwS,1
165,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA",0Bv7O6fmZk3GrNQFYJaXPn,3
166,Roadrunner,Bonez MC,0BwO44CBPFWxAIO5ZbPf3N,2
167,Want To,Dua Lipa,0CBFOvHlyqy30Q5tbyNHfQ,0
168,Let It Fly (feat. Travis Scott),"Lil Wayne, Travis Scott",0CBQ0m3mufWH75LTYB3s6h,0
169,CHORRITO PA LAS ANIMAS,Feid,0CYTGMBYkwUxrj1MWDLrC5,2
170,1950,King Princess,0CZ8lquoTX2Dkg7Ak2inwA,1
171,Believer,Imagine Dragons,0CcQNd8CINkwQfe1RDtGV6,0
172,She Bad,"Cardi B, YG",0CfmNX2TXk7yoJqHJiixnp,1
173,Think Before I Talk,Astrid S,0Clb9aiXWa0dvVff5aN4VN,0
174,Glorious (feat. Skylar Grey),"Macklemore, Skylar Grey",0CokSRCu5hZgPxcZBaEzVE,1
175,Kill Bill (feat. Doja Cat),"SZA, Doja Cat",0CrcwVLUe8wzLUIXgjXVZJ,0
176,Naked,Doja Cat,0CsR9Y9SnC6ZWmekmVqSHz,1
177,"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar",0CtZpaOhtzvLV3FfcsVpQo,1
178,Karaoke,"Boomdabash, Alessandra Amoroso",0D4GpOPInKiPxEfQMchu4p,2
179,Yuck,Logic,0D5CXSUx8GOCHSY8KWgi9h,0
180,Baila Conmigo (with Rauw Alejandro),"Selena Gomez, Rauw Alejandro",0D75ciM842cdUMKSMfAR9y,0
181,Pray,Sam Smith,0D8ZpOXVjapLXrjz5VfZSD,1
182,Madonna,"Bausa, Apache 207",0DAQryfUiFZdWFo76RYBc8,0
183,Just A Cloud Away,Pharrell Williams,0DGTcMqvVR7fmBXgiG6jz4,0
184,I Am,Jorja Smith,0DJBgBiYeSn6n1AXAkFVE8,0
185,Girl At Home (Taylor's Version),Taylor Swift,0DMVrlMUn01M0IcpDbwgu7,1
186,TQG,"KAROL G, Shakira",0DWdj2oZMBFSzRsi2Cvfzf,0
187,Ransom (with Juice WRLD) - Remix,"Lil Tecca, Juice WRLD",0DZJACISivjWjscIp5Kg1q,2
188,Only Human,Jonas Brothers,0DiDStADDVh3SvAsoJAFMk,0
189,Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",0Dn40gxVCMo5TkgS8Ik18Q,0
190,Nervous,Shawn Mendes,0Dq49j3dELbttQVUJbtn0c,2
191,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)","DJ Patrick Muniz, Dj Olliver, Mc Topre, Mc Rennan",0DsPj89zlY3Us7xb5cXK5h,0
192,Love In The Dark,Adele,0DuWDLjriRPjDRoPgaCslY,1
193,Otro Atardecer,"Bad Bunny, The Marías",0E0DRHf5PfMeor0ZCwB3oT,1
194,Afterglow,Ed Sheeran,0E4Y1XIbs8GrAT1YqVy6dq,0
195,APESHIT,The Carters,0E6PsO3ymCfUh7pJQjBgkj,1
196,In My Mind,"Dynoro, Gigi D'Agostino",0E9ZjEAyAwOXZ7wJC0PD33,0
197,Ya Salame,"Luciano, Samra",0EDSU9JYeKABA14OcOuM7b,2
198,Deu Onda,MC G15,0EPxmvsG1BY5td4aTOkWBF,2
199,I'm Fine,BTS,0EQMrxdeiBhry9JCxskko3,1
200,Bella y Sensual,"Romeo Santos, Daddy Yankee, Nicky Jam",0ERbK7qVqveCaBWIiYCrl3,0
201,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny, Tainy",0EhpEsp4L0oRGM0vmeaN5e,1
202,POLARIS - Remix,"SAIKO, Quevedo, Feid, Mora",0EhuGnOS6fTc5l5UNtDEH2,1
203,999 (with Camilo),"Selena Gomez, Camilo",0EtuSDTRJYUwlPf4y6coIz,1
204,KANGA (feat. Kanye West),"6ix9ine, Kanye West",0EwS8XJQspgrj1zSUXhFkl,2
205,Old Town Road,Lil Nas X,0F7FA14euOIX8KcbEturGH,2
206,Watch This - ARIZONATEARS Pluggnb Remix,"Lil Uzi Vert, sped up nightcore, ARIZONATEARS",0FA4wrjDJvJTTU8AepZTup,2
207,A Sky Full of Stars,Coldplay,0FDzzruyVECATHXKHFs9eJ,1
208,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",0FFsgUoFibYISzMxuGS61W,0
209,ZEZE (feat. Travis Scott & Offset),"Kodak Black, Offset, Travis Scott",0FZ4Dmg8jJJAPJnvBIzD9z,1
210,GOLDWING,Billie Eilish,0FfqyjhB6Kspvit1oOo7ax,2
211,DEMBOW BÉLICO,"Tito Double P, Joel De La P, Luis R Conriquez",0FkD2FHEZrZIofVkY6XPFK,2
212,BYE ME FUI,Bad Bunny,0FktnzDqjClqU6iqOZVEs2,0
213,VIRGO'S GROOVE,Beyoncé,0Fl4eWzVaMUOdXcOrj6F1q,3
214,t h e . c l i m b . b a c k,J. Cole,0FlfN5cbUUpIHCRH8X1M44,3
215,Forever,Noah Kahan,0FlwhvrncUKrEAhzunmCKm,1
216,New Patek,Lil Uzi Vert,0Fpen1PTuEnCmOJtUU9Iud,3
217,1AM FREESTYLE,Joji,0FqBNLXlTNimxmVRdDMj6b,2
218,Aquelas Coisas,João Gomes,0FqVtQxRD3HsPltldG5v5M,2
219,She Knows (feat. Amber Coffman & Cults),"J. Cole, Cults, Amber Coffman",0Fs9cdPDhptWEDJmiCbkEW,3
220,September Song,JP Cooper,0FuTx2s3YH1ppmtiM6l0zI,1
221,Moves,Big Sean,0Fv5N0cHBsl4bzCbollCAS,2
222,Numb,21 Savage,0G149jkGWKwrPXUGkEDgWM,1
223,Volando - Remix,"Mora, Bad Bunny, Sech",0G2zPzWqVjR68iNPmx2TBe,1
224,Emoji A Chain,Migos,0G9rmRmQDFk9O2tzZLyRkc,3
225,l e t . g o . m y . h a n d (with Bas & 6LACK),"J. Cole, Bas, 6LACK",0GAyuCo975IHGxxiLKDufB,1
226,UNA NOCHE EN MEDELLÍN - REMIX,"KAROL G, Cris Mj, Ryan Castro",0GJwUAlBMJTbY4VE7iE761,0
227,Fear and Friday's,Zach Bryan,0GMiRrUnQuoGddKMsxGPIZ,2
228,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)","Eminem, Royce Da 5'9"", White Gold",0GQ5bFTVFFKpwNPc7KwQnB,1
229,Tightrope,Michelle Williams,0GVuLQtPXFaL18ijEOqoAa,1
230,Dancing Queen,ABBA,0GjEhVFGZW8afUYGChu3Rr,1
231,Never Enough,Loren Allred,0Gl5s8IhMmQE5YQwM8Qx1J,0
232,INSUPERABILE,Rkomi,0GsZZWhBMIQXAmPYPJ3PRQ,0
233,Pull Up N Wreck (& Metro Boomin),"Big Sean, Metro Boomin, 21 Savage",0Gux2yTMWYOlcBUNjGJu5p,1
234,What Lovers Do (feat. SZA),"Maroon 5, SZA",0GxQ1A5L9xnMOytbP6eKBG,0
235,Hawái - Remix,"Maluma, The Weeknd",0GzuHFG4Ql6DoyxFRnIk3F,0
236,Sex with My Ex,Lil Peep,0H1Had94fszD13qsFsP1U5,0
237,Daechwita,Agust D,0H4ugk6rhnXmTl47ayy9O5,1
238,De Una Vez,Selena Gomez,0HC6S4VpCGAZvyxTdrMRIQ,2
239,exes,Tate McRae,0HD8mbiPjp3o94X3EaZp0o,2
240,Hundred,Khalid,0HEckRWFSknIupbGzavk5d,1
241,Faith - Remastered,George Michael,0HEmnAUT8PHznIAAmVXqFJ,0
242,Spotless (feat. The Lumineers),"Zach Bryan, The Lumineers",0HEytGQM3bG1vKxER7IgVK,2
243,Freaks,Surf Curse,0HUTL8i4y4MiGCPId7M7wb,2
244,Nice For What,Drake,0HVv5bEOiI9a0QfgcASXpX,0
245,Shinunoga E-Wa,Fujii Kaze,0HYAsQwJIO6FLqpyTeD3l6,0
246,Bad Reputation (feat. Joe Janiak),"Avicii, Joe Janiak",0HZgYFimoJG9Ijy8InUWcV,0
247,Bones,Imagine Dragons,0HqZX76SFLDz2aW8aiqi7G,2
248,Stay,"Zedd, Alessia Cara",0I20rLT2MJDhcF96AjbNYo,0
249,TOMBOY,(G)I-DLE,0IGUXY4JbK18bu9oD4mPIm,0
250,Bebe Dame,"Fuerza Regida, Grupo Frontera",0IKeDy5bT9G0bA7ZixRT4A,1
251,Baby It's Cold Outside (with Michael Bublé),"Idina Menzel, Michael Bublé",0Ie5uiv54KgCr7P4sYDTHl,2
252,Thing for You (with Martin Solveig),"David Guetta, Martin Solveig",0IhTEIjFaRt3B2NQYf9azQ,0
253,WANDA,Quevedo,0Iozrbed8spxoBnmtBMshO,2
254,Bean (Kobe) [feat. Chief Keef],"Lil Uzi Vert, Chief Keef",0IpnZchq8ek2A6pGEP2Qb1,1
255,KESI - Remix,"Camilo, Shawn Mendes",0IqCoZ168iRc9LqfrYgpZy,0
256,Take Me To Church,Hozier,0IqKeD8ZSP72KbGYyzEcAs,1
257,she's all i wanna be,Tate McRae,0IuVhCflrQPMGRrOyoY5RW,0
258,Chulo pt.2,"Bad Gyal, Tokischa, Young Miko",0J9g1MMJDhyvOb3NWckHMm,0
259,Despeinada,"Ozuna, Camilo",0JAZWvvqttGFm4UMDsPQXC,1
260,Moonlight,XXXTENTACION,0JP9xo3adEtGSdUEISiszL,2
261,Sure Thing,Miguel,0JXXNGljqupsJaZsgSbMZV,0
262,RERUN (feat. Travis Scott),"Quavo, Travis Scott",0JYAsQJWIuaYUvZGF1qapT,1
263,Robarte un Beso,"Carlos Vives, Sebastian Yatra",0JcNysfWVWaMS7R6vzGB2k,0
264,Ela me Falou Que Quer Rave,"MC Levin, DJ Nikolas Alves Exclusive, DJ Kaioken, DJ Gege",0JdkDCdrhMOaeXjIZdeBXN,1
265,La vie qu'on mène,Ninho,0Jh6iWjna1wk5le0Ahn7No,0
266,Alone,Alan Walker,0JiVRyTJcJnmlwCZ854K4p,2
267,Mahiye Jinna Sohna,Darshan Raval,0Jiaz0O4AqnJICa9PxHhaR,0
268,Still Be Friends (feat. Tory Lanez & Tyga),"G-Eazy, Tory Lanez, Tyga",0JjM9bKm4wrwohMslcm892,0
269,the 1,Taylor Swift,0Jlcvv8IykzHaSmj49uNW8,0
270,Moonlight,Kali Uchis,0JmnkIqdlnUzPaf8sqBRs3,0
271,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn",0JoHqmlqE0W0i9prt6kcHR,1
272,Bad Energy,Juice WRLD,0JoWBcL61YWLXM5vW0YTHO,0
273,Hotel,Montell Fish,0JzG1wJuB4v9UPkSE7LMXi,0
274,Internet,Post Malone,0KAzP1Rbp0Vz5pw8i1KDDI,2
275,Djomb - Bien ou quoi,Bosh,0KBwGCY9RYD9t2zjeW4h48,2
276,The Rumbling (TV Size),SiM,0KCSJzsQVxkloxoT7dyrqV,2
277,That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,0
278,Bezos I,Bo Burnham,0Kdj7nwaYQmvhxnqZaIQuW,2
279,China,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",0KkIkfsLEJbrcIhYsCL7L5,3
280,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",0KoiMHhqKLoL4xM54rcWYY,0
281,Light It Up (feat. Nyla & Fuse ODG) [Remix],"Major Lazer, Nyla, Fuse ODG",0L7loeTIg6akW84aEQZpCT,2
282,Cocoon,Milky Chance,0L87MffumRNWrY2SNUFcvs,1
283,Typa Girl,BLACKPINK,0L8LOav65XwLjCLS11gNPD,0
